dataset,k,recall_mean,precision_mean,n_disc_mean
Friedman1_Mod,1,1.0,1.0,6.666666666666667
Friedman1_Mod,3,1.0,0.3333333333333333,6.666666666666667
Friedman1_Mod,5,1.0,0.20000000000000004,6.666666666666667
Friedman1_Mod,10,1.0,0.15277777777777776,6.666666666666667
Hartmann6D_Mod,1,1.0,1.0,6.666666666666667
Hartmann6D_Mod,3,1.0,0.3333333333333333,6.666666666666667
Hartmann6D_Mod,5,1.0,0.20000000000000004,6.666666666666667
Hartmann6D_Mod,10,1.0,0.15595238095238095,6.666666666666667
Ishigami_Mod,1,1.0,1.0,1.0
Ishigami_Mod,3,1.0,1.0,1.0
Ishigami_Mod,5,1.0,1.0,1.0
Ishigami_Mod,10,1.0,1.0,1.0
